"nome_arquivo","latitude","longitude"
"5RS0173",-28.2933,-52.7242
"5RS0174",-28.2894,-53.7794
"5SC0175",-28.2706,-48.6975
,-28.2617,-49.0122
"5RS0177",-28.2558,-51.8622
"5SC0178",-28.2389,-49.1628
"5RS0179",-28.2256,-53.4703
"5RS0180",-28.2111,-54.6031
,-28.2108,-50.7586
"5SC0182",-28.2094,-49.195
"3RS0183",-28.2089,-55.3233
"5RS0184",-28.1892,-52.7458
"3RS0185",-28.1878,-55.6369
"5SC0186",-28.1656,-48.9711
"5SC0187",-28.1522,-50.4408
,-28.1111,-53.9931
"5SC0189",-28.1036,-48.9194
"5RS0190",-28.0592,-51.1881
"5RS0191",-28.0586,-53.0661
,-28.0575,-51.9961
"5RS0193",-28.0542,-54.3614
"5SC0194",-28.0322,-49.1186
"5SC0195",-28.0072,-49.5922
"5RS0196",-28.0058,-51.4544
"5SC0197",-27.9956,-49.1156
"5RS0198",-27.9828,-51.7836
"5RS0199",-27.9681,-54.1164
"5SC0200",-27.9592,-48.6756
"5SC0201",-27.9222,-50.0992
"5RS0202",-27.9133,-53.3108
"5SC0203",-27.9097,-49.1297
"5SC0204",-27.9008,-48.9278
"5RS0205",-27.8544,-55.0236
"5RS0206",-27.8542,-52.3047
"5RS0207",-27.8519,-53.7764
"5RS0208",-27.8117,-53.0278
"5SC0209",-27.8083,-50.3283
"5SC0210",-27.8042,-49.78
"5RS0211",-27.7819,-54.2411
"5SC0212",-27.7464,-49.945
"5SC0213",-27.7306,-49.3828
"5RS0214",-27.7125,-51.7378
"5SC0215",-27.7047,-48.8036
"5SC0216",-27.7039,-49.8472
"5SC0217",-27.6925,-48.7108
"5SC0218",-27.6922,-51.1294
"5SC0219",-27.6833,-49.3653
"5RS0220",-27.6786,-51.4547
"5SC0221",-27.6719,-49.0117
"5SC0222",-27.6617,-50.5783
"5RS0223",-27.6539,-54.4422
"5SC0224",-27.6006,-48.62
"5RS0225",-27.5992,-53.0714
"5RS0226",-27.5872,-52.0933
"5SC0227",-27.5417,-50.8569
"5SC0228",-27.5169,-48.7694
"5SC0229",-27.5075,-49.2875
"5SC0230",-27.5019,-49.5531
"5RS0231",-27.5008,-53.6925
"5SC0232",-27.4858,-48.9869
"5SC0233",-27.4819,-50.385
"5RS0234",-27.4647,-51.9031
