99	0.741	0.794	-999	-999	-999	-999	-999
100	0.746	0.796	-999	-999	-999	-999	-999
101	0.751	0.798	-999	-999	-999	-999	-999
102	0.756	0.799	-999	-999	-999	-999	-999
103	0.761	0.799	-999	-999	-999	-999	-999
104	0.765	0.800	-999	-999	-999	-999	-999
105	0.769	-999	-999	-999	-999	-999	-999
106	0.773	-999	-999	-999	-999	-999	-999
107	0.777	-999	-999	-999	-999	-999	-999
108	0.780	-999	-999	-999	-999	-999	-999
109	0.783	-999	-999	-999	-999	-999	-999
110	0.786	-999	-999	-999	-999	-999	-999
111	0.789	-999	-999	-999	-999	-999	-999
112	0.791	-999	-999	-999	-999	-999	-999
113	0.793	-999	-999	-999	-999	-999	-999
114	0.795	-999	-999	-999	-999	-999	-999
115	0.797	-999	-999	-999	-999	-999	-999
116	0.798	-999	-999	-999	-999	-999	-999
117	0.799	-999	-999	-999	-999	-999	-999
118	0.799	-999	-999	-999	-999	-999	-999
119	0.800	-999	-999	-999	-999	-999	-999
120	0.800	-999	-999	-999	-999	-999	-999
